Brand,Year,Fuel_Type,Horsepower,Cylinders,Transmission,Drive_Type,Doors,Vehicle_Size,Highway_MPG,city_mpg,Popularity,Price
BMW,2011,premium unleaded (required),335.0,6.0,MANUAL,rear wheel drive,2.0,Compact,26,19,3916,46135
BMW,2011,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,28,19,3916,40650
BMW,2011,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,28,20,3916,36350
BMW,2011,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,28,18,3916,29450
BMW,2011,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,28,18,3916,34500
BMW,2012,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,28,18,3916,31200
BMW,2012,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,26,17,3916,44100
BMW,2012,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,28,20,3916,39300
BMW,2012,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,28,18,3916,36900
BMW,2013,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,27,18,3916,37200
BMW,2013,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,28,20,3916,39600
BMW,2013,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,28,19,3916,31500
BMW,2013,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,28,19,3916,44400
BMW,2013,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,28,19,3916,37200
BMW,2013,premium unleaded (required),320.0,6.0,MANUAL,rear wheel drive,2.0,Compact,25,18,3916,48250
BMW,2013,premium unleaded (required),320.0,6.0,MANUAL,rear wheel drive,2.0,Compact,28,20,3916,43550
Audi,1992,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,24,17,3105,2000
Audi,1992,regular unleaded,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,20,16,3105,2000
Audi,1992,regular unleaded,172.0,6.0,MANUAL,all wheel drive,4.0,Midsize,21,16,3105,2000
Audi,1993,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,24,17,3105,2000
Audi,1993,regular unleaded,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,20,16,3105,2000
Audi,1993,regular unleaded,172.0,6.0,MANUAL,all wheel drive,4.0,Midsize,21,16,3105,2000
Audi,1994,regular unleaded,172.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,21,16,3105,2000
Audi,1994,regular unleaded,172.0,6.0,MANUAL,all wheel drive,4.0,Midsize,22,16,3105,2000
Audi,1994,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,22,17,3105,2000
Audi,1994,regular unleaded,172.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,22,16,3105,2000
Audi,1994,regular unleaded,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,21,16,3105,2000
FIAT,2017,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Compact,35,26,819,27495
FIAT,2017,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Compact,35,26,819,24995
FIAT,2017,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Compact,35,26,819,28195
Mercedes-Benz,1991,regular unleaded,130.0,4.0,MANUAL,rear wheel drive,4.0,Compact,26,18,617,2000
Mercedes-Benz,1991,regular unleaded,158.0,6.0,MANUAL,rear wheel drive,4.0,Compact,25,17,617,2000
Mercedes-Benz,1992,regular unleaded,158.0,6.0,MANUAL,rear wheel drive,4.0,Compact,25,17,617,2000
Mercedes-Benz,1992,regular unleaded,130.0,4.0,MANUAL,rear wheel drive,4.0,Compact,26,18,617,2000
Mercedes-Benz,1993,regular unleaded,130.0,4.0,MANUAL,rear wheel drive,4.0,Compact,26,18,617,2000
Mercedes-Benz,1993,regular unleaded,158.0,6.0,MANUAL,rear wheel drive,4.0,Compact,25,17,617,2000
BMW,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,35,23,3916,32850
BMW,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,34,23,3916,38650
BMW,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,31,20,3916,48750
BMW,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,35,23,3916,34850
BMW,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,34,22,3916,40650
BMW,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,31,20,3916,44150
BMW,2016,premium unleaded (required),240.0,4.0,MANUAL,rear wheel drive,2.0,Compact,34,22,3916,32850
BMW,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,30,20,3916,46150
BMW,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,30,20,3916,50750
BMW,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,31,21,3916,46450
BMW,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,32,21,3916,49050
BMW,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,32,21,3916,51050
